Feature,Importance,Importance_Pct
hybrid_power_kW,0.8036083016283977,80.36
hybrid_ramp_1h,0.02399978576438551,2.4
hour,0.023486825910360762,2.35
sin_hour,0.022857115170423287,2.29
solar_ramp_1h,0.015967377709742884,1.6
irradiance_poa,0.015468157624039167,1.55
irradiance_ghi,0.015028828623592342,1.5
ghi_ramp_1h,0.004905002857497093,0.49
solar_power_kW,0.004299917445198708,0.43
hybrid_lag_3h,0.004001980898533226,0.4
day_of_year,0.0039903749335909395,0.4
ghi_lag_24h,0.003955377393565729,0.4
wind_vector_v,0.003278227701560649,0.33
temperature_C,0.0030215817322555775,0.3
wind_speed_ramp_1h,0.0028637235366395174,0.29
humidity_pct,0.0027380831356980267,0.27
wind_speed_lag_24h,0.002726863603128041,0.27
ghi_lag_1h,0.0023315448078498275,0.23
wind_direction,0.002162041294019787,0.22
hybrid_roll_mean_6h,0.002072917345786923,0.21
hybrid_lag_24h,0.0019898823772420506,0.2
wind_vector_u,0.0018995852705829892,0.19
ghi_lag_2h,0.001836518810908645,0.18
solar_lag_3h,0.0018048870912822212,0.18
solar_lag_24h,0.001757658878375106,0.18
wind_speed_lag_2h,0.0017531513797912415,0.18
wind_speed,0.0017382031289967243,0.17
hybrid_lag_6h,0.0016555832134189767,0.17
wind_lag_6h,0.001606700266525258,0.16
hybrid_roll_mean_3h,0.0015594715577280267,0.16
wind_speed_lag_1h,0.0015505627760112471,0.16
cos_hour,0.0015451210476954184,0.15
solar_lag_2h,0.0015136825684761897,0.15
solar_roll_mean_6h,0.001450255605956909,0.15
hybrid_lag_1h,0.0013872164925593541,0.14
solar_lag_6h,0.0013551438441609398,0.14
solar_lag_1h,0.0012111270435498586,0.12
hybrid_lag_2h,0.0011805357452113576,0.12
day_of_week,0.001069234959886764,0.11
solar_roll_mean_3h,0.0009480837694298173,0.09
sin_month,0.0007014864327578017,0.07
wind_roll_std_6h,0.0006562066238247964,0.07
cos_month,0.0006086197138647462,0.06
solar_lag_12h,0.0006075494059274852,0.06
hybrid_lag_12h,0.0005545778565018188,0.06
month,0.0005371202650044492,0.05
wind_lag_12h,0.0004951882730808045,0.05
wind_lag_3h,0.0004900983185006733,0.05
wind_roll_mean_6h,0.00043387626744634234,0.04
wind_lag_1h,0.00040683096512312514,0.04
wind_power_kW,0.0002397638519187322,0.02
wind_lag_2h,0.00016243214697219261,0.02
wind_roll_std_3h,0.00015726534755648104,0.02
wind_ramp_1h,0.00015469151033171315,0.02
wind_roll_mean_3h,0.00012637950739526857,0.01
pressure_mbar,6.020911603846807e-05,0.01
is_daylight,1.6397484113667308e-05,0.0
wind_lag_24h,1.4298574653289656e-05,0.0
solar_azimuth,3.2110211800405304e-07,0.0
solar_elevation,5.229281506629586e-08,0.0
