Feature,Importance,Importance_Pct
solar_elevation_deg,75693.59133054671,8.33
solar_roll_mean_1h,51480.87594667477,5.67
inverter_efficiency_pct,40168.02193576746,4.42
solar_lag_30m,39488.3803084133,4.35
mae_kW,29694.76515709331,3.27
ghi_lag_30m,29006.535600119787,3.19
solar_lag_10m,25616.70155452099,2.82
ramp_magnitude_kW,23225.51650222634,2.56
solar_lag_15m,21494.777949913012,2.37
hybrid_dispatch_mode_Storage_Discharge,19819.96534265246,2.18
cos_time_of_day,18246.837484545602,2.01
hybrid_lag_60m,18225.554188872804,2.01
hybrid_lag_5m,18132.418245428573,2.0
rmse_kW,18055.63695094134,1.99
wind_lag_60m,16371.650794672607,1.8
ghi_lag_15m,13790.551425435484,1.52
air_density_kg_m3,13044.688133729123,1.44
wind_ramp_5m,12537.32911319886,1.38
ramp_rate_kW_per_min,12537.329113181528,1.38
solar_roll_mean_15m,11883.450906358965,1.31
hybrid_lag_30m,11619.024439628272,1.28
wind_lag_5m,11580.899663182632,1.27
p10_forecast_kW,10636.746473512629,1.17
clearness_index,10434.160942583063,1.15
p90_forecast_kW,9982.435120577284,1.1
cloud_cover_pct,9296.259086615413,1.02
ghi_lag_5m,8808.875262285585,0.97
cloud_state,8774.079508331615,0.97
solar_lag_60m,8702.527097105542,0.96
wind_roll_mean_1h,8689.21651139236,0.96
bifacial_gain_pct,8357.196606781756,0.92
ghi_w_per_m2,8192.612848789873,0.9
irradiance_ghi,8192.612848787467,0.9
wake_loss_pct,8034.081796946918,0.88
ghi_lag_60m,7336.896343568391,0.81
degradation_pct,7117.689166438984,0.78
poa_irradiance_w_m2,6963.307651418371,0.77
irradiance_poa,6963.307651405392,0.77
hybrid_dispatch_mode_Solar_Only,6704.327238113429,0.74
smoothing_activation_flag,6704.3272379976015,0.74
wind_lag_30m,6692.901327290244,0.74
hybrid_roll_mean_15m,6665.134762600345,0.73
irradiance_dni,6441.992732798255,0.71
dni_w_per_m2,6441.992732781569,0.71
dhi_w_per_m2,6136.902251714082,0.68
irradiance_dhi,6136.902251666278,0.68
bess_discharge_kW,5718.064634260187,0.63
is_daylight,5570.420735334478,0.61
bess_net_flow_kW,5553.297488111989,0.61
forecast_error_kW,5246.740562046436,0.58
solar_power_kW,5102.06838453004,0.56
ac_power_kW,5102.068384521625,0.56
solar_power_MW,5102.0683845051935,0.56
capacity_factor_solar,5053.851463082007,0.56
wind_vector_v,5053.837727261233,0.56
day_of_week,4918.963486301119,0.54
tracker_angle_deg,4743.057149014141,0.52
solar_lag_5m,4739.638534734906,0.52
icing_risk_flag,4735.7683615587275,0.52
bess_soc_pct,4468.341673252381,0.49
hour,4417.14398398653,0.49
humidity_pct,4156.844103379423,0.46
wind_roll_std_15m,4003.2279853035275,0.44
pressure_hPa,3936.9245884116203,0.43
wind_lag_15m,3795.663204967937,0.42
cell_temp_C,3725.9496540607593,0.41
solar_wind_ratio,3603.6654689169236,0.4
hybrid_roll_mean_1h,3476.1596521400247,0.38
wind_roll_mean_15m,3412.549230315675,0.38
bess_charge_kW,2991.533284353751,0.33
wind_vector_u,2979.506554872659,0.33
ghi_lag_10m,2909.728095724128,0.32
wind_lag_10m,2907.4712254213273,0.32
ghi_ramp_5m,2529.0605183773077,0.28
wind_direction_deg,2513.2383815418248,0.28
pcc_frequency_hz,2418.18857393908,0.27
dc_power_kW,2282.2825531580756,0.25
pitch_angle_deg,2176.591522758154,0.24
solar_ramp_5m,2143.432088276738,0.24
capacity_factor_wind,2135.614257329654,0.24
actual_power_kW,2070.1067810881304,0.23
active_power_export_kW,2070.106781082897,0.23
hybrid_power_MW,2070.1067810647514,0.23
hybrid_power_kW,2070.1067810597697,0.23
wind_speed_lag_60m,1992.157364091441,0.22
hybrid_lag_10m,1958.9957895517177,0.22
